Label,Centroid_X,Centroid_Y,Theta,Percent_Filled,BoundingBox_Ratio
watch,162.454,271.126,-0.843575,15228.2,2.03333
watch,160.97,270.57,-0.831432,14919.2,2
sunglass,263.976,219.356,-0.0529174,19055.1,3.05519
sunglass,262.642,218.711,-0.0580181,19008.1,3.05871
sunglass,263.026,217.692,-0.0516559,18812.2,3.0416
sunglass,262.625,218.708,-0.0565678,19000.4,3.0497
sunglass,263.558,218.771,-0.0557035,18961,3.04575
sunglass,263.038,219.078,-0.0568928,18917.4,3.05174
sunglass,262.599,218.518,-0.0588968,18946.7,3.06367
sunglass,262.874,218.343,-0.0548948,18952.2,3.05229
sunglass,263.103,217.821,-0.0551939,18934,3.04862
sunglass,265.02,219.098,-0.0504541,18982.8,3.03958
sunglass,293.434,54.1451,-0.00888553,18662.3,3.06977
sunglass,293.194,52.4701,-0.00969256,18695.1,3.088
sunglass,367.356,146.151,-0.170122,18880.2,2.99289
sunglass,365.606,139.418,-0.167619,18884.1,2.9803
sunglass,364.641,135.637,-0.168018,18884.7,2.98206
sunglass,289.191,166.579,-0.727168,18988.8,3.00764
sunglass,289.165,166.337,-0.728474,18964.4,3.00241
sunglass,289.511,164.294,-0.73328,18957.1,3.02541
sunglass,139.116,293.561,-1.48766,19140.1,2.79047
sunglass,137.3,290.159,-1.48864,18969.2,2.81874
sunglass,138.382,289.686,-1.48613,18877.6,2.84775
sunglass,256.445,212.596,1.49328,18720.7,0.330485
sunglass,259.798,210.85,1.49518,18863.3,0.329725
sunglass,260.306,210.663,1.49472,18979,0.329644
sunglass,139.014,437.856,0.054275,18696.7,0.345638
sunglass,139.179,438.673,0.0523192,18462.4,2.93137
sunglass,140.238,437.508,0.0561565,18760.7,2.85714
sunglass,157.14,177.823,-0.00674137,20926.1,2.53681
sunglass,157.037,174.181,0.000139501,21099.2,2.31846
sunglass,326.968,200.524,-0.0626416,19298.7,3.03923
sunglass,327.989,198.586,-0.0623336,19307.5,3.02919
sunglass,282.259,214.33,0.146573,19239.9,0.340165
sunglass,342.872,144.056,0.771984,19452.9,0.324172
sunglass,343.483,143.215,0.770892,19598.9,0.323898
sunglass,306.064,70.4047,-0.79266,18720.3,1.78465
sunglass,286.309,106.068,-0.943049,18420.6,2.22512
sunglass,287.113,104.557,-0.938793,18371,2.22465
sunglass,269.11,190.303,-1.11572,19464.5,3.1441
sunglass,270.429,164.505,-1.11352,19443.8,3.1214
sunglass,320.871,174.406,-1.2386,19502.3,3.05481
sunglass,310.923,161.654,1.54133,20380.9,0.366711
sunglass,298.48,229.489,1.39295,19489.9,0.324005
sunglass,214.06,254.826,0.974419,19364.8,0.318568
sunglass,210.635,254.313,0.967686,19308.9,0.31555
sunglass,206.688,254.414,0.959691,19370.1,0.313383
sunglass,193.751,267.051,0.928318,19348.1,0.305674
sunglass,237.723,282.842,0.239535,19301.8,0.313899
sunglass,221.54,303.113,0.213032,19159.6,0.296339
sunglass,225.308,293.656,0.221452,19014.8,0.297515
sunglass,382.252,299.533,-0.422844,19384.8,3.14035
sunglass,383.431,241.233,-0.417792,19235,3.143
sunglass,400.562,283.926,-0.421906,18967.4,3.32492
sunglass,386.181,282.351,-0.423508,19282.6,3.18963
sunglass,264.173,246.319,-0.77834,19726.3,2.93207
sunglass,330.573,132.099,-1.29777,19327.9,2.94412
sunglass,264.664,252.104,0.430697,19379.4,0.331504
sunglass,363.144,308.551,-0.269452,19474.2,2.93123
sunglass,405.371,247.016,-0.715216,19549.1,3.00862
sunglass,408.454,243.89,-0.423525,19409.1,2.99178
sunglass,394.487,326.355,-0.0694756,19233,2.94282
sunglass,284.958,304.497,0.0141466,19393.7,0.344478
sunglass,284.859,246.474,0.765048,19484.7,0.335411
sunglass,328.469,239.708,1.48159,19275.4,0.332005
sunglass,294.111,227.099,-1.26422,19208.8,3.02145
sunglass,355.914,191.338,-0.640776,19213.1,2.97985
sunglass,227.649,236.88,-0.381937,19491.4,2.99465
sunglass,236.048,245.373,0.425082,19461,0.330438
sunglass,612.826,13.1864,0.29537,14074.9,1.94872
sunglass,316.447,212.407,0.793698,19438.6,0.327864
sunglass,329.232,165.326,1.32072,19326,0.339431
sunglass,345.531,251.333,0.517073,19397.2,0.33112
sunglass,616.794,16.356,0.513937,13375.3,1.36735
sunglass,288.205,314.311,-1.37586,19330.1,3
sunglass,8.69458,34.7584,-1.4378,14289.8,0.26
sunglass,288.338,255.267,1.45626,19334.7,0.342288
sunglass,250.64,250,0.190952,19134.1,0.341685
sunglass,227.803,106.136,1.09261,19414.5,0.342412
sunglass,244.702,220.009,0.452437,19490.9,0.332784
sunglass,227.342,252.648,0.432315,19150.3,0.336335
sunglass,333.492,240.581,-0.685773,19291.5,3.0516
sunglass,381.669,19.9122,0.000435695,15977.6,2.8
sunglass,356.821,227.263,-0.0743084,19099.5,3.06639
sunglass,354.745,223.281,-0.0681991,19275.8,3.00422
sunglass,255.642,360.23,-0.0938148,16606.7,2.91179
sunglass,416.03,304.655,0.0413226,13527.9,0.448276
sunglass,255.624,356.328,-0.0991508,16595.2,2.8525
sunglass,414.066,298.861,0.113821,8217.11,0.439161
sunglass,348.975,176.501,-0.084489,16674.5,2.69292
sunglass,237.36,125.107,-0.00215909,15512.8,0.167128
sunglass,355.811,112.702,-0.14521,19166.1,2.81315
sunglass,397.916,61.5514,-0.262752,16675.5,12.1793
sunglass,311.959,113.781,-0.580947,17126.6,2.58327
sunglass,263.151,117.701,-1.33352,16485.4,2.52288
sunglass,284.913,277.455,1.42869,16484.7,1.64551
sunglass,270.366,150.609,-1.32616,18512.5,0.826764
sunglass,254.127,401.806,-1.56636,17356.6,0.631704
sunglass,230.924,271.143,1.49021,17327.9,0.760807
sunglass,227.084,354.536,0.74153,17824.2,0.363087
